datetime,open,high,low,close,volume
2020-02-24 09:30:00,3257.61011,3257.61011,3231.65991,3244.60010,79120376
2020-02-24 09:35:00,3244.34009,3254.56006,3244.04004,3254.03003,65390726
2020-02-24 09:40:00,3253.75000,3254.14990,3246.08008,3254.14990,56013945
2020-02-24 09:45:00,3253.96997,3257.71997,3251.53003,3255.09009,47516476
2020-02-24 09:50:00,3255.25000,3257.75000,3251.98999,3256.38989,42462932
2020-02-24 09:55:00,3255.13989,3255.21997,3251.62988,3254.60010,37063558
2020-02-24 10:00:00,3254.60010,3259.50000,3251.22998,3252.17993,41076130
2020-02-24 10:05:00,3252.65991,3255.08008,3251.36011,3254.66992,34590770
2020-02-24 10:10:00,3253.73999,3259.43994,3252.08008,3259.05005,33515217
2020-02-24 10:15:00,3259.07007,3259.72998,3252.70996,3252.84009,33836590
2020-02-24 10:20:00,3252.79004,3252.79004,3246.89990,3247.57007,31536031
2020-02-24 10:25:00,3247.64990,3248.87012,3244.51001,3245.38989,31346981
2020-02-24 10:30:00,3245.42993,3245.42993,3240.33008,3242.06006,31212957
2020-02-24 10:35:00,3242.06006,3243.21997,3240.01001,3240.93994,31846309
2020-02-24 10:40:00,3240.94995,3244.59009,3238.11011,3244.37012,31446079
2020-02-24 10:45:00,3244.34009,3246.37012,3242.17993,3246.27002,24953718
2020-02-24 10:50:00,3246.78003,3250.52002,3246.78003,3249.10010,26260704
2020-02-24 10:55:00,3249.18994,3250.22998,3248.02002,3249.59009,24924203
2020-02-24 11:00:00,3249.53003,3250.75000,3241.28003,3241.97998,28914179
2020-02-24 11:05:00,3242.06006,3245.06006,3241.73999,3243.52002,25964408
2020-02-24 11:10:00,3243.50000,3245.01001,3242.44995,3243.29004,21847969
2020-02-24 11:15:00,3243.26001,3248.75000,3242.21997,3248.62988,25811037
2020-02-24 11:20:00,3249.28003,3249.64990,3247.01001,3247.41992,22298853
2020-02-24 11:25:00,3247.41992,3247.52002,3243.87988,3244.93994,21411709
2020-02-24 11:30:00,3244.91992,3246.83008,3242.44995,3243.06006,25962450
2020-02-24 11:35:00,3243.09009,3246.65991,3241.16992,3243.98999,22021706
2020-02-24 11:40:00,3243.88989,3243.88989,3235.81006,3236.94995,28951559
2020-02-24 11:45:00,3237.03003,3237.55005,3232.72998,3233.40991,24431929
2020-02-24 11:50:00,3233.64990,3236.69995,3233.64990,3235.12988,21962588
2020-02-24 11:55:00,3235.08008,3240.55005,3232.59009,3237.27002,24604999
2020-02-24 12:00:00,3237.18994,3237.18994,3231.98999,3232.48999,19207176
2020-02-24 12:05:00,3232.52002,3232.76001,3227.44995,3227.75000,23174353
2020-02-24 12:10:00,3227.61011,3230.51001,3227.25000,3227.92993,20266344
2020-02-24 12:15:00,3227.89990,3230.72998,3225.59009,3230.63989,21914442
2020-02-24 12:20:00,3230.80005,3231.67993,3228.18994,3228.32007,19807191
2020-02-24 12:25:00,3228.35010,3232.28003,3227.89990,3228.40991,21793257
2020-02-24 12:30:00,3228.35010,3229.03003,3224.08008,3226.00000,21272038
2020-02-24 12:35:00,3226.05005,3234.22998,3226.05005,3234.22998,20264546
2020-02-24 12:40:00,3234.32007,3235.88989,3232.76001,3234.53003,19961120
2020-02-24 12:45:00,3234.53003,3234.80005,3231.05005,3231.58008,18524770
2020-02-24 12:50:00,3231.60010,3231.60010,3228.97998,3229.77002,17886356
2020-02-24 12:55:00,3229.78003,3229.97998,3225.98999,3225.98999,19981931
2020-02-24 13:00:00,3224.91992,3225.06006,3218.67993,3218.98999,23790038
2020-02-24 13:05:00,3218.96997,3222.31006,3218.96997,3219.38989,20837125
2020-02-24 13:10:00,3219.40991,3220.28003,3217.12012,3217.84009,18820793
2020-02-24 13:15:00,3217.85010,3217.85010,3214.64990,3217.29004,20502128
2020-02-24 13:20:00,3217.37988,3221.77002,3217.15991,3218.78003,21425257
2020-02-24 13:25:00,3218.70996,3227.55005,3217.85010,3227.47998,20699031
2020-02-24 13:30:00,3227.42993,3229.02002,3224.94995,3228.35010,19292893
2020-02-24 13:35:00,3228.20996,3231.09009,3226.94995,3229.62012,18542970
2020-02-24 13:40:00,3229.62012,3229.62012,3226.12012,3227.94995,16595038
2020-02-24 13:45:00,3227.91992,3232.71997,3227.84009,3231.82007,20133818
2020-02-24 13:50:00,3231.80005,3233.25000,3230.32007,3231.37988,17031651
2020-02-24 13:55:00,3231.39990,3232.63989,3227.97998,3232.02002,17199643
2020-02-24 14:00:00,3231.80005,3234.03003,3229.70996,3230.17993,19822719
2020-02-24 14:05:00,3230.13989,3231.57007,3224.64990,3225.81006,21603409
2020-02-24 14:10:00,3225.86011,3226.97998,3223.90991,3223.90991,17419965
2020-02-24 14:15:00,3223.89990,3226.77002,3222.84009,3224.96997,17073145
2020-02-24 14:20:00,3224.97998,3231.38989,3224.97998,3231.28003,18533192
2020-02-24 14:25:00,3231.29004,3239.09009,3231.29004,3237.86011,23022807
2020-02-24 14:30:00,3237.86011,3238.98999,3236.98999,3237.73999,20209906
2020-02-24 14:35:00,3237.70996,3240.96997,3235.46997,3240.79004,19182911
2020-02-24 14:40:00,3240.72998,3241.26001,3238.58008,3241.08008,19609035
2020-02-24 14:45:00,3241.08008,3243.61011,3240.79004,3243.38989,23696785
2020-02-24 14:50:00,3243.37988,3246.37988,3241.00000,3245.94995,22161506
2020-02-24 14:55:00,3245.85010,3250.33008,3244.56006,3248.67993,28235762
2020-02-24 15:00:00,3248.79004,3253.58008,3246.90991,3251.59009,27447216
2020-02-24 15:05:00,3251.61011,3253.28003,3250.86011,3250.88989,22651015
2020-02-24 15:10:00,3250.84009,3251.08008,3244.02002,3244.66992,24780753
2020-02-24 15:15:00,3244.69995,3246.03003,3242.07007,3245.14990,25714622
2020-02-24 15:20:00,3245.15991,3247.75000,3243.37012,3243.90991,25441320
2020-02-24 15:25:00,3244.03003,3244.40991,3242.10010,3242.37988,27639240
2020-02-24 15:30:00,3242.36011,3244.12012,3239.05005,3241.54004,35845812
2020-02-24 15:35:00,3241.36011,3242.11011,3236.33008,3236.95996,37773260
2020-02-24 15:40:00,3236.94995,3237.70996,3233.31006,3233.78003,38373342
2020-02-24 15:45:00,3233.88989,3242.15991,3233.88989,3241.50000,49307314
2020-02-24 15:50:00,3241.45996,3241.45996,3229.52002,3229.62988,84410985
2020-02-24 15:55:00,3229.51001,3230.91992,3225.82007,3225.82007,157613076
2020-02-25 09:30:00,3238.93994,3246.98999,3235.52002,3235.57007,41274595
2020-02-25 09:35:00,3237.51001,3243.87012,3234.41992,3239.41992,39773651
2020-02-25 09:40:00,3239.25000,3239.25000,3230.48999,3230.77002,37467083
2020-02-25 09:45:00,3231.54004,3231.54004,3223.37012,3227.71997,38130424
2020-02-25 09:50:00,3227.70996,3234.87012,3224.29004,3234.54004,32357605
2020-02-25 09:55:00,3234.55005,3234.67993,3230.30005,3234.37012,29477196
2020-02-25 10:00:00,3232.91992,3236.72998,3230.47998,3230.53003,30943116
2020-02-25 10:05:00,3230.53003,3235.10010,3229.31006,3232.30005,26630602
2020-02-25 10:10:00,3232.03003,3232.03003,3225.87988,3227.37012,32870039
2020-02-25 10:15:00,3227.23999,3229.11011,3222.91992,3223.62012,30558590
2020-02-25 10:20:00,3222.07007,3222.07007,3212.96997,3212.96997,34916862
2020-02-25 10:25:00,3212.36011,3212.36011,3202.20996,3204.50000,49659440
2020-02-25 10:30:00,3204.63989,3208.16992,3197.12012,3202.94995,42227395
2020-02-25 10:35:00,3202.08008,3208.75000,3200.28003,3206.05005,33854757
2020-02-25 10:40:00,3203.78003,3212.70996,3202.64990,3212.70996,30180964
2020-02-25 10:45:00,3211.10010,3213.52002,3201.90991,3201.90991,30054220
2020-02-25 10:50:00,3201.45996,3201.45996,3187.65991,3193.04004,41482063
2020-02-25 10:55:00,3191.68994,3199.29004,3191.17993,3199.29004,33868304
2020-02-25 11:00:00,3199.03003,3202.37012,3193.50000,3193.59009,30854693
2020-02-25 11:05:00,3193.62012,3197.76001,3187.69995,3188.51001,35409016
2020-02-25 11:10:00,3189.14990,3194.36011,3188.02002,3190.67993,27546010
2020-02-25 11:15:00,3189.54004,3189.96997,3177.21997,3182.44995,39670069
2020-02-25 11:20:00,3182.36011,3184.20996,3178.02002,3183.31006,32195869
2020-02-25 11:25:00,3183.32007,3190.88989,3182.52002,3188.43994,29887692
2020-02-25 11:30:00,3189.05005,3193.31006,3185.12988,3191.80005,29804666
2020-02-25 11:35:00,3192.10010,3194.00000,3187.91992,3190.14990,24550222
2020-02-25 11:40:00,3190.98999,3191.26001,3184.97998,3185.04004,24674468
2020-02-25 11:45:00,3185.07007,3197.82007,3185.05005,3196.35010,25276962
2020-02-25 11:50:00,3196.33008,3198.56006,3194.29004,3198.46997,22290120
2020-02-25 11:55:00,3198.52002,3198.89990,3194.29004,3195.10010,22092125
2020-02-25 12:00:00,3195.82007,3198.30005,3193.78003,3193.88989,24038263
2020-02-25 12:05:00,3193.91992,3194.78003,3191.63989,3194.45996,18873240
2020-02-25 12:10:00,3194.43994,3197.28003,3192.81006,3193.05005,19981309
2020-02-25 12:15:00,3193.05005,3193.05005,3185.36011,3186.04004,23478535
2020-02-25 12:20:00,3186.05005,3186.96997,3183.10010,3184.26001,21714466
2020-02-25 12:25:00,3184.25000,3185.51001,3181.53003,3183.48999,18752741
2020-02-25 12:30:00,3183.47998,3188.78003,3183.30005,3188.75000,19171224
2020-02-25 12:35:00,3188.75000,3192.00000,3188.31006,3190.18994,18309130
2020-02-25 12:40:00,3190.19995,3190.36011,3178.36011,3180.22998,27692083
2020-02-25 12:45:00,3179.83008,3179.88989,3172.90991,3174.16992,27804452
2020-02-25 12:50:00,3174.12012,3176.91992,3172.53003,3176.52002,21214904
2020-02-25 12:55:00,3176.52002,3177.09009,3171.79004,3172.58008,20607676
2020-02-25 13:00:00,3172.59009,3175.25000,3167.75000,3171.12988,32955892
2020-02-25 13:05:00,3171.17993,3176.19995,3169.78003,3175.37988,20552971
2020-02-25 13:10:00,3175.35010,3178.50000,3172.89990,3173.58008,19321637
2020-02-25 13:15:00,3173.62012,3174.61011,3163.89990,3166.18994,26389201
2020-02-25 13:20:00,3165.43994,3168.18994,3165.19995,3167.01001,17979386
2020-02-25 13:25:00,3166.94995,3169.40991,3164.70996,3167.32007,21325417
2020-02-25 13:30:00,3167.48999,3167.48999,3161.12012,3164.87012,25289422
2020-02-25 13:35:00,3164.87988,3165.02002,3160.36011,3161.11011,23041429
2020-02-25 13:40:00,3161.07007,3166.08008,3158.47998,3165.37988,25177626
2020-02-25 13:45:00,3165.36011,3166.19995,3162.26001,3162.26001,19700519
2020-02-25 13:50:00,3162.26001,3167.56006,3157.90991,3160.33008,25472449
2020-02-25 13:55:00,3160.34009,3160.76001,3153.59009,3153.64990,24663913
2020-02-25 14:00:00,3152.59009,3153.23999,3144.73999,3149.65991,39854953
2020-02-25 14:05:00,3149.67993,3151.54004,3133.01001,3135.43994,42415620
2020-02-25 14:10:00,3139.38989,3147.17993,3133.88989,3146.77002,36284644
2020-02-25 14:15:00,3146.86011,3147.12012,3136.40991,3138.22998,27838568
2020-02-25 14:20:00,3136.92993,3142.01001,3134.29004,3134.48999,28706294
2020-02-25 14:25:00,3134.65991,3137.60010,3127.95996,3128.63989,36358055
2020-02-25 14:30:00,3128.23999,3133.43994,3123.04004,3128.45996,46154070
2020-02-25 14:35:00,3128.81006,3130.54004,3123.97998,3124.28003,31862350
2020-02-25 14:40:00,3124.37012,3137.53003,3123.05005,3137.53003,36546813
2020-02-25 14:45:00,3137.41992,3141.83008,3133.10010,3140.29004,34413853
2020-02-25 14:50:00,3140.38989,3145.68994,3137.00000,3145.65991,34102944
2020-02-25 14:55:00,3145.73999,3147.44995,3141.97998,3143.16992,32984224
2020-02-25 15:00:00,3144.08008,3154.88989,3144.08008,3149.09009,38898920
2020-02-25 15:05:00,3148.87012,3155.58008,3148.30005,3149.29004,37007839
2020-02-25 15:10:00,3149.12012,3150.29004,3140.43994,3141.55005,35383920
2020-02-25 15:15:00,3141.57007,3146.54004,3137.17993,3139.64990,40253838
2020-02-25 15:20:00,3139.65991,3141.47998,3127.22998,3131.50000,41681612
2020-02-25 15:25:00,3131.50000,3136.94995,3129.18994,3134.11011,37347638
2020-02-25 15:30:00,3133.56006,3133.56006,3119.10010,3124.77002,61849557
2020-02-25 15:35:00,3124.92993,3124.95996,3118.77002,3121.13989,49957258
2020-02-25 15:40:00,3120.86011,3133.43994,3120.78003,3129.67993,56892080
2020-02-25 15:45:00,3129.77002,3141.43994,3129.77002,3132.92993,64251287
2020-02-25 15:50:00,3131.83008,3132.76001,3125.17993,3126.67993,106873844
2020-02-25 15:55:00,3126.98999,3132.09009,3123.65991,3129.45996,190218565
2020-02-26 09:30:00,3140.81006,3152.15991,3140.81006,3148.02002,51362451
2020-02-26 09:35:00,3147.86011,3161.37988,3147.84009,3161.37988,50246254
2020-02-26 09:40:00,3161.38989,3175.67993,3160.85010,3171.70996,52400692
2020-02-26 09:45:00,3170.98999,3170.98999,3161.22998,3163.01001,47359446
2020-02-26 09:50:00,3163.20996,3163.88989,3156.65991,3162.15991,53453311
2020-02-26 09:55:00,3162.18994,3162.41992,3154.32007,3157.20996,33694705
2020-02-26 10:00:00,3156.81006,3158.47998,3150.91992,3152.90991,37681447
2020-02-26 10:05:00,3152.92993,3155.26001,3148.79004,3155.22998,35832358
2020-02-26 10:10:00,3155.52002,3162.50000,3149.69995,3162.50000,37220661
2020-02-26 10:15:00,3162.55005,3168.11011,3162.55005,3167.22998,34148529
2020-02-26 10:20:00,3167.27002,3169.97998,3162.44995,3165.96997,33367135
2020-02-26 10:25:00,3166.15991,3172.10010,3165.59009,3165.59009,32010675
2020-02-26 10:30:00,3165.64990,3172.95996,3165.64990,3172.31006,30296221
2020-02-26 10:35:00,3172.28003,3174.98999,3169.31006,3170.27002,32281354
2020-02-26 10:40:00,3170.06006,3179.08008,3169.71997,3179.01001,32014353
2020-02-26 10:45:00,3178.71997,3179.68994,3176.14990,3178.30005,31220431
2020-02-26 10:50:00,3178.29004,3182.51001,3176.53003,3176.61011,29523007
2020-02-26 10:55:00,3176.84009,3178.32007,3175.37988,3175.85010,7450391
2020-02-26 11:00:00,3169.31006,3172.80005,3168.92993,3172.07007,46248179
2020-02-26 11:05:00,3172.10010,3172.29004,3166.79004,3166.79004,21940243
2020-02-26 11:10:00,3166.79004,3166.91992,3162.80005,3165.37012,23132132
2020-02-26 11:15:00,3165.35010,3172.94995,3165.03003,3172.80005,24130157
2020-02-26 11:20:00,3172.81006,3177.22998,3172.62988,3177.12012,23470261
2020-02-26 11:25:00,3177.18994,3178.48999,3176.44995,3177.36011,26777602
2020-02-26 11:30:00,3176.72998,3176.72998,3170.23999,3173.39990,28383117
2020-02-26 11:35:00,3173.38989,3175.42993,3168.31006,3174.45996,23755734
2020-02-26 11:40:00,3174.50000,3175.71997,3168.82007,3168.82007,23329398
2020-02-26 11:45:00,3168.77002,3168.85010,3162.79004,3163.06006,23625196
2020-02-26 11:50:00,3163.09009,3163.47998,3155.37988,3156.07007,25193654
2020-02-26 11:55:00,3156.06006,3157.64990,3153.37012,3155.48999,25725743
2020-02-26 12:00:00,3155.55005,3157.23999,3145.44995,3145.44995,32951543
2020-02-26 12:05:00,3145.27002,3145.40991,3134.76001,3138.31006,35267598
2020-02-26 12:10:00,3138.10010,3139.84009,3134.28003,3135.56006,28268818
2020-02-26 12:15:00,3136.27002,3137.13989,3128.77002,3137.13989,33507100
2020-02-26 12:20:00,3137.06006,3142.63989,3136.51001,3142.11011,28787944
2020-02-26 12:25:00,3142.12988,3142.62012,3138.31006,3142.00000,22965588
2020-02-26 12:30:00,3142.02002,3151.50000,3142.02002,3150.83008,24271488
2020-02-26 12:35:00,3150.85010,3152.93994,3147.00000,3147.55005,22817553
