,Date,Realized Volatility,Predicted Volatility
2023-04-05,2023-04-05,0.0057898386938384,0.008171840797244753
2023-04-06,2023-04-06,0.0054955567200239,0.008130806955296102
2023-04-10,2023-04-10,0.0085634806194749,0.006370677448738896
2023-04-11,2023-04-11,0.0038624291759898,0.006651241760483903
2023-04-12,2023-04-12,0.0090135300370304,0.007730059413304551
2023-04-13,2023-04-13,0.0053144707672928,0.006576254853632977
2023-04-14,2023-04-14,0.0072586361692688,0.007054041920497726
2023-04-17,2023-04-17,0.004169948063025,0.006397163545687407
2023-04-18,2023-04-18,0.0061186508927239,0.006856186029079041
2023-04-19,2023-04-19,0.0054252579396249,0.005293663139008452
2023-04-20,2023-04-20,0.0080587375850099,0.006119906328787557
2023-04-21,2023-04-21,0.0057103490595324,0.0053915167647732316
2023-04-24,2023-04-24,0.0039337845538581,0.005585335560533713
2023-04-25,2023-04-25,0.0065833381897638,0.005692845282963922
2023-04-26,2023-04-26,0.0055484794447217,0.008309405692716336
2023-04-27,2023-04-27,0.0079760836667907,0.007615126796842356
2023-04-28,2023-04-28,0.0070792230434708,0.007419343455264918
2023-05-01,2023-05-01,0.0045071005046427,0.006511812569631031
2023-05-02,2023-05-02,0.0071068252074632,0.004464990746049939
2023-05-03,2023-05-03,0.0070267697087788,0.007938050841299948
2023-05-04,2023-05-04,0.0086304034503348,0.008400302245748182
2023-05-05,2023-05-05,0.0118924652155763,0.00756978844213515
2023-05-08,2023-05-08,0.0042208895194229,0.008608792239766171
2023-05-09,2023-05-09,0.0060317980719206,0.005654525098584188
2023-05-10,2023-05-10,0.0113773871301693,0.006716591152507648
2023-05-11,2023-05-11,0.0076147663148083,0.006507559866519222
2023-05-12,2023-05-12,0.0066109976654099,0.0063768821626452475
2023-05-15,2023-05-15,0.0042333867964927,0.006515956554020491
2023-05-16,2023-05-16,0.0059028406518993,0.0057294230756017445
2023-05-17,2023-05-17,0.0067887370530112,0.0064509491029034185
2023-05-18,2023-05-18,0.0066581862522701,0.006259966408638305
2023-05-19,2023-05-19,0.00652425461996,0.005372160050656091
2023-05-22,2023-05-22,0.0058858146620133,0.007230580644933557
2023-05-23,2023-05-23,0.0074365185362057,0.004726697598447041
2023-05-24,2023-05-24,0.0074413905601216,0.008264632915336155
2023-05-25,2023-05-25,0.0086756003275739,0.007438666330349334
2023-05-26,2023-05-26,0.0059270139876367,0.007953329111712655
2023-05-30,2023-05-30,0.0084185620213689,0.007043319318704168
2023-05-31,2023-05-31,0.006689899053357,0.006170451313629371
2023-06-01,2023-06-01,0.0053807876294168,0.006926773001306417
2023-06-02,2023-06-02,0.0107641967119137,0.0052419856852909015
2023-06-05,2023-06-05,0.0065640304311517,0.00488866029170924
2023-06-06,2023-06-06,0.0048859755179119,0.004477505059812753
2023-06-07,2023-06-07,0.0055097123444245,0.00578929432896176
2023-06-08,2023-06-08,0.0036831386818406,0.003427475701144646
2023-06-09,2023-06-09,0.0055698651549678,0.004050848310392875
2023-06-12,2023-06-12,0.0039582237161233,0.005141810055976018
2023-06-13,2023-06-13,0.0066093654326361,0.004936860018222305
2023-06-14,2023-06-14,0.0086331509099914,0.0062794677947125834
2023-06-15,2023-06-15,0.006047054659061,0.005747012379036907
2023-06-16,2023-06-16,0.0068731197156476,0.007135506609811916
2023-06-20,2023-06-20,0.0054071984039473,0.006518912646518665
2023-06-21,2023-06-21,0.0062414731392971,0.004285750414004557
2023-06-22,2023-06-22,0.0059824726758008,0.006525615731765178
2023-06-23,2023-06-23,0.0084388773012128,0.005295834009262802
2023-06-26,2023-06-26,0.0048166089401087,0.005823146911532141
2023-06-27,2023-06-27,0.0050037951691703,0.004823355335412028
2023-06-28,2023-06-28,0.0063467654384037,0.0062033577224549965
2023-06-29,2023-06-29,0.0044219711429785,0.004494052601539468
2023-06-30,2023-06-30,0.0091621469365063,0.005772035680700644
2023-07-03,2023-07-03,0.0017428391968392,0.00609599677142477
2023-07-05,2023-07-05,0.0047481843406192,0.004023350191358611
2023-07-06,2023-07-06,0.0108612005045433,0.0042565996714009
2023-07-07,2023-07-07,0.0046297119875068,0.005932535333658731
2023-07-10,2023-07-10,0.0043787833322243,0.005665761499122692
2023-07-11,2023-07-11,0.0057128551646038,0.006103270870321439
2023-07-12,2023-07-12,0.0096267375665493,0.00522030808013389
2023-07-13,2023-07-13,0.0060827734223448,0.0077566289753425765
2023-07-14,2023-07-14,0.0046886747630703,0.007418009387314151
2023-07-17,2023-07-17,0.0030976851707814,0.0053476756671022785
2023-07-18,2023-07-18,0.0037850676203347,0.0054995214710846065
2023-07-19,2023-07-19,0.0051515142682314,0.0071368774053226745
2023-07-20,2023-07-20,0.0045186156608063,0.005936947715234171
2023-07-21,2023-07-21,0.0059553053963746,0.004423650799275454
2023-07-24,2023-07-24,0.0060537445103625,0.005337480714833819
2023-07-25,2023-07-25,0.0029840240372187,0.005279064745159333
2023-07-26,2023-07-26,0.0072603151493528,0.003855012867690018
2023-07-27,2023-07-27,0.0102693277482008,0.003884272895536944
2023-07-28,2023-07-28,0.0089506637896952,0.005552791470389873
2023-07-31,2023-07-31,0.0044984282466561,0.00694054841373388
2023-08-01,2023-08-01,0.0044462012065194,0.004239520593914411
2023-08-02,2023-08-02,0.0098719178148208,0.0056826354237546894
2023-08-03,2023-08-03,0.0071926324254093,0.006960917071499327
2023-08-04,2023-08-04,0.0089368825659004,0.007570840363135085
2023-08-07,2023-08-07,0.0076456790742925,0.007550533046191574
2023-08-08,2023-08-08,0.0083413094328805,0.006295964745514059
2023-08-09,2023-08-09,0.0055592301573657,0.006591272063775735
2023-08-10,2023-08-10,0.0112115159252921,0.007156348636372041
2023-08-11,2023-08-11,0.0071736381085083,0.007132437817934004
2023-08-14,2023-08-14,0.0045995946442805,0.006405778045904871
2023-08-15,2023-08-15,0.0069078020592565,0.0057586352826478615
2023-08-16,2023-08-16,0.0064665053492335,0.0070009881341066785
2023-08-17,2023-08-17,0.0066709262158877,0.00668597203679139
2023-08-18,2023-08-18,0.0079471257950126,0.007822161598071411
2023-08-21,2023-08-21,0.0065886794998806,0.00724321549042813
2023-08-22,2023-08-22,0.0067706052230866,0.006426373144193801
2023-08-23,2023-08-23,0.0051333671194706,0.0061153710349405805
2023-08-24,2023-08-24,0.006712223447997,0.0062164268647227116
2023-08-25,2023-08-25,0.0112729786605388,0.006516756808628103
2023-08-28,2023-08-28,0.0082802002172657,0.006807176490158482
2023-08-29,2023-08-29,0.0053655820291772,0.006617662709573981
2023-08-30,2023-08-30,0.0059949557017169,0.00724705906345559
2023-08-31,2023-08-31,0.0047344610579238,0.003396841355239566
2023-09-01,2023-09-01,0.0083234013091633,0.004524597289667504
2023-09-05,2023-09-05,0.0042179968193125,0.00502256564277889
2023-09-06,2023-09-06,0.0065376722907835,0.005150210060737295
2023-09-07,2023-09-07,0.0084677383437904,0.006121553708043397
2023-09-08,2023-09-08,0.0050626903215459,0.005846551014271935
2023-09-11,2023-09-11,0.0077947584415867,0.0046160552407894274
2023-09-12,2023-09-12,0.0051273938127564,0.005602771563911679
2023-09-13,2023-09-13,0.0054025981376803,0.005110948490823087
2023-09-14,2023-09-14,0.0058878924164999,0.005136507342600764
2023-09-15,2023-09-15,0.0058834687998344,0.004622304034180267
2023-09-18,2023-09-18,0.0035042420255822,0.0069761617176168885
2023-09-19,2023-09-19,0.0048069571401461,0.005352739824969953
2023-09-20,2023-09-20,0.0069099893194844,0.005625034130026462
2023-09-21,2023-09-21,0.0096072164441142,0.006171802169586482
2023-09-22,2023-09-22,0.0068215457446831,0.008518383547770498
2023-09-25,2023-09-25,0.0077148814930792,0.006399991084322963
2023-09-26,2023-09-26,0.0087139109163411,0.007757736655562494
2023-09-27,2023-09-27,0.0085801603416051,0.008748059703042856
2023-09-28,2023-09-28,0.0081946352568829,0.009318269401711357
2023-09-29,2023-09-29,0.0103823030464747,0.007735703830578361
2023-10-02,2023-10-02,0.0087368243481774,0.006787911061286374
2023-10-03,2023-10-03,0.0091228605403742,0.008248780798981063
2023-10-04,2023-10-04,0.0089971526990166,0.009279381034276243
2023-10-05,2023-10-05,0.0071766421048033,0.00841854027974967
2023-10-06,2023-10-06,0.0093756631005621,0.008019814546176585
2023-10-09,2023-10-09,0.0071857964473267,0.008732521510555293
2023-10-10,2023-10-10,0.0058254894893241,0.0062859314837425346
2023-10-11,2023-10-11,0.006696030717345,0.00830614846900887
2023-10-12,2023-10-12,0.0063340057599881,0.0057484675217967076
2023-10-13,2023-10-13,0.0092215873169277,0.005099505432534573
2023-10-16,2023-10-16,0.0091093746327506,0.00897385820041703
2023-10-17,2023-10-17,0.0090715390160476,0.007615158301129405
2023-10-18,2023-10-18,0.0090162476696261,0.006439118512887913
2023-10-19,2023-10-19,0.0118091830517847,0.008601697112671091
2023-10-20,2023-10-20,0.0085121055638688,0.01004352240442758
2023-10-23,2023-10-23,0.0098243923590656,0.012117194379130693
2023-10-24,2023-10-24,0.0096636286985278,0.009209031614285223
2023-10-25,2023-10-25,0.0090429645121536,0.008284239878308976
2023-10-26,2023-10-26,0.0095120912785233,0.008471121501542148
2023-10-27,2023-10-27,0.0085421140442239,0.011060054895170751
2023-10-30,2023-10-30,0.01094290961379,0.008288633924670769
2023-10-31,2023-10-31,0.0066296623064943,0.008630281571461168
2023-11-01,2023-11-01,0.0077851177545472,0.007714521815728507
2023-11-02,2023-11-02,0.0123868080036529,0.0067630376617603
2023-11-03,2023-11-03,0.0078879011464626,0.008100829084927262
2023-11-06,2023-11-06,0.0046927326289392,0.007254950324261353
2023-11-07,2023-11-07,0.0045310237259285,0.004694567282340985
2023-11-08,2023-11-08,0.0053355382876049,0.0063836932249880666
2023-11-09,2023-11-09,0.0074261883369022,0.005923117397757346
2023-11-10,2023-11-10,0.0058931988089008,0.006267509102257538
2023-11-13,2023-11-13,0.0056098331890236,0.005174855938199236
2023-11-14,2023-11-14,0.015057550737392,0.005505296557021714
2023-11-15,2023-11-15,0.0057327341596908,0.008354645571136495
2023-11-16,2023-11-16,0.0046109149361444,0.0072469872502850695
2023-11-17,2023-11-17,0.0033479375737085,0.005432938316447995
2023-11-20,2023-11-20,0.0038133849169,0.004730035621725673
2023-11-21,2023-11-21,0.0041086495387846,0.006547290104361512
2023-11-22,2023-11-22,0.0077395755944547,0.003937787144975516
2023-11-24,2023-11-24,0.0015868535759783,0.005601406879994076
2023-11-27,2023-11-27,0.0035583224805806,0.004542850783210718
2023-11-28,2023-11-28,0.0044664322136639,0.003595749496776608
2023-11-29,2023-11-29,0.0077224117590799,0.0033711856284125907
2023-11-30,2023-11-30,0.0065793689361047,0.00447278840889203
2023-12-01,2023-12-01,0.0059397013042887,0.006511816697038035
2023-12-04,2023-12-04,0.0069412303996036,0.006091718718175297
2023-12-05,2023-12-05,0.0069003071930594,0.006657110400150966
2023-12-06,2023-12-06,0.0064964311977282,0.00402188691907422
2023-12-07,2023-12-07,0.0063324248480822,0.006156247973804922
2023-12-08,2023-12-08,0.0056774322003987,0.0052603573681090764
2023-12-11,2023-12-11,0.0035669074633137,0.0036288957161968796
2023-12-12,2023-12-12,0.0039947099488818,0.004749049645207856
2023-12-13,2023-12-13,0.007220973616336,0.004306880324325352
2023-12-14,2023-12-14,0.008264424026238,0.005834060042324
2023-12-15,2023-12-15,0.0053356218591363,0.005782557116296427
2023-12-18,2023-12-18,0.0046070850199445,0.007471572385681709
2023-12-19,2023-12-19,0.0031573712217091,0.00428524642079341
2023-12-20,2023-12-20,0.0069798103115515,0.005855500148574759
2023-12-21,2023-12-21,0.0106097123354867,0.009115373125128402
2023-12-22,2023-12-22,0.0051640763797667,0.00682630099556717
2023-12-26,2023-12-26,0.0031964295704063,0.0040295857615632
2023-12-27,2023-12-27,0.0041192912404553,0.005783187472828925
2023-12-28,2023-12-28,0.0031881532053261,0.002767904981715368
2023-12-29,2023-12-29,0.0041046665399709,0.0030411878121346003
